0.3411 	WARNING 	Movie2 stim could not be imported and won't be available
372.6018 	DATA 	Keypress: t
374.8736 	DATA 	Keypress: t
377.1467 	DATA 	Keypress: t
379.4186 	DATA 	Keypress: t
381.6906 	DATA 	Keypress: t
383.9625 	DATA 	Keypress: t
386.2344 	DATA 	Keypress: t
388.5064 	DATA 	Keypress: t
390.7782 	DATA 	Keypress: t
393.0503 	DATA 	Keypress: t
395.3221 	DATA 	Keypress: t
397.5941 	DATA 	Keypress: t
399.8661 	DATA 	Keypress: t
402.1380 	DATA 	Keypress: t
404.4100 	DATA 	Keypress: t
406.6819 	DATA 	Keypress: t
408.9538 	DATA 	Keypress: t
411.2257 	DATA 	Keypress: t
413.4977 	DATA 	Keypress: t
415.7696 	DATA 	Keypress: t
418.0415 	DATA 	Keypress: t
420.3135 	DATA 	Keypress: t
422.5855 	DATA 	Keypress: t
424.8574 	DATA 	Keypress: t
427.1294 	DATA 	Keypress: t
429.4012 	DATA 	Keypress: t
431.6732 	DATA 	Keypress: t
433.9452 	DATA 	Keypress: t
436.2171 	DATA 	Keypress: t
438.4891 	DATA 	Keypress: t
440.7610 	DATA 	Keypress: t
443.0329 	DATA 	Keypress: t
445.3048 	DATA 	Keypress: t
447.5768 	DATA 	Keypress: t
449.8487 	DATA 	Keypress: t
452.1207 	DATA 	Keypress: t
454.3927 	DATA 	Keypress: t
456.6655 	DATA 	Keypress: t
458.9375 	DATA 	Keypress: t
461.2094 	DATA 	Keypress: t
463.4814 	DATA 	Keypress: t
465.7533 	DATA 	Keypress: t
468.0252 	DATA 	Keypress: t
470.2972 	DATA 	Keypress: t
472.5691 	DATA 	Keypress: t
474.8411 	DATA 	Keypress: t
477.1130 	DATA 	Keypress: t
479.3850 	DATA 	Keypress: t
481.6569 	DATA 	Keypress: t
483.9289 	DATA 	Keypress: t
486.2008 	DATA 	Keypress: t
488.4727 	DATA 	Keypress: t
490.7446 	DATA 	Keypress: t
493.0166 	DATA 	Keypress: t
495.2886 	DATA 	Keypress: t
497.5605 	DATA 	Keypress: t
499.8324 	DATA 	Keypress: t
502.1043 	DATA 	Keypress: t
504.3763 	DATA 	Keypress: t
506.6482 	DATA 	Keypress: t
508.9202 	DATA 	Keypress: t
511.1921 	DATA 	Keypress: t
513.4641 	DATA 	Keypress: t
515.7360 	DATA 	Keypress: t
518.0079 	DATA 	Keypress: t
520.2802 	DATA 	Keypress: t
522.5518 	DATA 	Keypress: t
524.8237 	DATA 	Keypress: t
527.0957 	DATA 	Keypress: t
529.3676 	DATA 	Keypress: t
531.6395 	DATA 	Keypress: t
533.9115 	DATA 	Keypress: t
536.1845 	DATA 	Keypress: t
